#ra, dec, redshift, g_ab, r_ab, i_ab, z_ab, absmag_r_total, bulge_n, disk_n, BulgeHalfLightRadius, gal_type, mass_stellar, mass_halo
10.0033, -0.0069, 1.2831, 27.1093, 26.9048, 26.5139, 26.0098, -19.6462, 4.0000, 1.0000, 0.0000, nan, 0.1282, 2.1516
10.0034, -0.0068, 1.2889, 22.8317, 22.8945, 22.7767, 22.4346, -22.5958, 4.0000, 1.0000, 0.0834, nan, 1.5914, 140.6313
10.0003, -0.0077, 1.0783, 26.8245, 26.3026, 25.8081, 25.1036, -19.4416, 4.0000, 1.0000, 0.0000, nan, 0.1468, 8.0902
10.0012, -0.0067, 2.0695, 26.9192, 26.9920, 26.9301, 26.7578, -19.2727, 4.0000, 1.0000, 0.0000, nan, 0.0575, 5.9385
10.0025, -0.0069, 0.1995, 26.4746, 26.5909, 26.7188, 26.7990, -13.2436, 4.0000, 1.0000, 0.0000, nan, 0.0002, 2.0656
10.0011, -0.0079, 0.4973, 25.4945, 24.1143, 23.4741, 23.1693, -19.1371, 4.0000, 1.0000, 0.0547, nan, 0.1371, 8.6926
10.0102, -0.0001, 1.1064, 27.9158, 27.6215, 27.3287, 26.6765, -17.2530, 4.0000, 1.0000, 0.0000, nan, 0.0036, 2.4098
10.0103, -0.0003, 2.2181, 23.4298, 23.4300, 23.4891, 23.5194, -23.3759, 4.0000, 1.0000, 0.2329, nan, 2.2145, 127.6354
10.0085, -0.0003, 2.9932, 27.7185, 27.6628, 27.6540, 27.6414, -20.1878, 4.0000, 1.0000, 0.0241, nan, 0.1618, 4.0451
10.0088, -0.0021, 3.9480, 26.5213, 25.2181, 25.0231, 24.9692, -21.6405, 4.0000, 1.0000, 0.1229, nan, 0.1637, 8.1762
10.0095, -0.0010, 1.3183, 26.7143, 26.2990, 25.8478, 25.3948, -20.8447, 4.0000, 1.0000, 0.0870, nan, 0.5418, 18.9344
10.0068, -0.0001, 1.3288, 27.0184, 26.8951, 26.3360, 25.8854, -21.2094, 4.0000, 1.0000, 0.0806, nan, 0.8132, 16.0943
10.0067, -0.0014, 1.9079, 27.3048, 27.4418, 27.3658, 27.2046, -19.2911, 4.0000, 1.0000, 0.0000, nan, 0.0707, 5.2500
10.0061, -0.0014, 2.8159, 25.0231, 24.9504, 25.0041, 25.0591, -22.3629, 4.0000, 1.0000, 0.1589, nan, 1.1501, 60.3320
10.0066, -0.0004, 0.5837, 26.8536, 25.8298, 25.1686, 24.9067, -17.8494, 4.0000, 1.0000, 0.0000, nan, 0.0405, 3.2705
10.0056, -0.0043, 1.7193, 25.0143, 25.0989, 25.0220, 24.8749, -21.4702, 4.0000, 1.0000, 0.0000, nan, 0.7172, 27.1968
10.0059, -0.0047, 0.9015, 26.1898, 25.9043, 25.6119, 25.5204, -17.9842, 4.0000, 1.0000, 0.0000, nan, 0.0124, 3.1844
9.9963, 0.0052, 1.8347, 25.4955, 25.6764, 25.4247, 25.2097, -21.5790, 4.0000, 1.0000, 0.0345, nan, 0.6183, 27.2828
9.9957, 0.0042, 0.9812, 27.0386, 27.0947, 26.9876, 26.8013, -16.8500, 4.0000, 1.0000, 0.0000, nan, 0.0040, 1.7213
9.9959, 0.0053, 0.8262, 21.8587, 21.6970, 21.3097, 21.1648, -22.4709, 4.0000, 1.0000, 0.0812, nan, 1.4543, 98.3731
9.9950, 0.0019, 0.5610, 28.6814, 27.4035, 26.7204, 26.4749, -16.1030, 4.0000, 1.0000, 0.0000, nan, 0.0068, 1.8934
9.9987, 0.0043, 1.9819, 27.6378, 27.8303, 27.6154, 27.3460, -20.0008, 4.0000, 1.0000, 0.0000, nan, 0.1560, 3.1844
9.9985, 0.0055, 3.6138, 28.8018, 27.8130, 27.4483, 27.4094, -23.8840, 4.0000, 1.0000, 0.6291, nan, 3.1059, 93.2091
9.9974, 0.0029, 3.0418, 28.2447, 27.6791, 27.6416, 27.8682, -20.8768, 4.0000, 1.0000, 0.0000, nan, 0.1530, 15.3197
9.9976, 0.0032, 2.0352, 25.0512, 25.2459, 24.8958, 24.4291, -23.5407, 4.0000, 1.0000, 0.6121, nan, 5.5314, 201.3937
9.9973, 0.0036, 0.3471, 24.3944, 23.0016, 22.4086, 22.0970, -19.3227, 4.0000, 1.0000, 0.2423, nan, 0.4303, 4.7336
9.9977, 0.0041, 1.9181, 27.7218, 27.8395, 27.8567, 27.7877, -18.3087, 4.0000, 1.0000, 0.0000, nan, 0.0174, 2.2377
9.9977, 0.0038, 1.9760, 26.3783, 26.6133, 26.2217, 25.8741, -21.6047, 4.0000, 1.0000, 0.0000, nan, 0.4540, 30.8115
9.9982, 0.0050, 0.6059, 26.2954, 25.2951, 24.6295, 24.3595, -18.5379, 4.0000, 1.0000, 0.0000, nan, 0.1011, 5.3361
9.9980, 0.0046, 2.7021, 26.9669, 26.7325, 27.0693, 27.0884, -19.1875, 4.0000, 1.0000, 0.0000, nan, 0.0216, 2.8402
9.9967, 0.0031, 1.2969, 24.9098, 24.9689, 24.8310, 24.4977, -20.6908, 4.0000, 1.0000, 0.1701, nan, 0.2957, 12.6517
9.9969, 0.0044, 1.9673, 27.3976, 27.5082, 27.5345, 27.4644, -18.7349, 4.0000, 1.0000, 0.0000, nan, 0.0325, 3.5287
9.9956, 0.0036, 4.2814, 26.0935, 25.8840, 25.3964, 25.3533, -21.5836, 4.0000, 1.0000, 0.2028, nan, 0.1911, 29.0041
9.9954, 0.0032, 1.7257, 25.8687, 25.8816, 25.5445, 25.1162, -21.9523, 4.0000, 1.0000, 0.2969, nan, 1.3773, 22.8074
9.9960, 0.0028, 2.2989, 26.1461, 26.1486, 26.4462, 25.9516, -20.4695, 4.0000, 1.0000, 0.0000, nan, 0.0789, 4.6475
9.9994, 0.0208, 0.8294, 27.2282, 25.6402, 24.5365, 23.8504, -20.3515, 4.0000, 1.0000, 0.2045, nan, 0.8703, 2.1516
